w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
item,the,analyst,cited,was,the,10,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,VBD
the,analyst,cited,was,the,10,%,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,VBD
analyst,cited,was,the,10,%,jump,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,DT
cited,was,the,10,%,jump,in,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,CD
was,the,10,%,jump,in,expenses,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,LOWER,NN
the,10,%,jump,in,expenses,",",LOWER,DIGIT,PUNCT,LOWER,LOWER,LOWER,PUNCT,NN
10,%,jump,in,expenses,",",which,DIGIT,PUNCT,LOWER,LOWER,LOWER,PUNCT,LOWER,IN
%,jump,in,expenses,",",which,the,PUNCT,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NNS
jump,in,expenses,",",which,the,bank,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
in,expenses,",",which,the,bank,attributes,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,WDT
expenses,",",which,the,bank,attributes,to,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,DT
",",which,the,bank,attributes,to,costs,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
which,the,bank,attributes,to,costs,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
the,bank,attributes,to,costs,of,expanding,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
bank,attributes,to,costs,of,expanding,both,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
attributes,to,costs,of,expanding,both,its,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
to,costs,of,expanding,both,its,consumer,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
costs,of,expanding,both,its,consumer,credit-card,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
of,expanding,both,its,consumer,credit-card,operations,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP$
expanding,both,its,consumer,credit-card,operations,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
both,its,consumer,credit-card,operations,and,its,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
its,consumer,credit-card,operations,and,its,overseas,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
consumer,credit-card,operations,and,its,overseas,branch,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
credit-card,operations,and,its,overseas,branch,business,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP$
operations,and,its,overseas,branch,business,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
and,its,overseas,branch,business,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,NN
its,overseas,branch,business,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
overseas,branch,business,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,whenever,corporate,profits,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,whenever,corporate,profits,are,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,WRB
<PAD>,``,whenever,corporate,profits,are,weak,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,JJ
``,whenever,corporate,profits,are,weak,that,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
whenever,corporate,profits,are,weak,that,means,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
corporate,profits,are,weak,that,means,capital,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
profits,are,weak,that,means,capital,spending,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WDT
are,weak,that,means,capital,spending,is,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
weak,that,means,capital,spending,is,going,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
that,means,capital,spending,is,going,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
means,capital,spending,is,going,to,soften,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
capital,spending,is,going,to,soften,subsequently,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
spending,is,going,to,soften,subsequently,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,TO
is,going,to,soften,subsequently,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,VB
going,to,soften,subsequently,",",'',mr.,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,TITLE,RB
to,soften,subsequently,",",'',mr.,harris,LOWER,LOWER,LOWER,PUNCT,MIXED,TITLE,TITLE,","
soften,subsequently,",",'',mr.,harris,said,LOWER,LOWER,PUNCT,MIXED,TITLE,TITLE,LOWER,''
subsequently,",",'',mr.,harris,said,.,LOWER,PUNCT,MIXED,TITLE,TITLE,LOWER,PUNCT,NNP
",",'',mr.,harris,said,.,<PAD>,PUNCT,MIXED,TITLE,TITLE,LOWER,PUNCT,<PAD>,NNP
'',mr.,harris,said,.,<PAD>,<PAD>,MIXED,TITLE,TITLE,LOWER,PUNCT,<PAD>,<PAD>,VBD
mr.,harris,said,.,<PAD>,<PAD>,<PAD>,TITLE,TITLE,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,exhibition,by,the,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,exhibition,by,the,u.s.-u.s.s.r.,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,UPPER,NN
<PAD>,the,exhibition,by,the,u.s.-u.s.s.r.,trade,<PAD>,TITLE,LOWER,LOWER,LOWER,UPPER,TITLE,IN
the,exhibition,by,the,u.s.-u.s.s.r.,trade,and,TITLE,LOWER,LOWER,LOWER,UPPER,TITLE,LOWER,DT
exhibition,by,the,u.s.-u.s.s.r.,trade,and,economic,LOWER,LOWER,LOWER,UPPER,TITLE,LOWER,TITLE,NNP
by,the,u.s.-u.s.s.r.,trade,and,economic,council,LOWER,LOWER,UPPER,TITLE,LOWER,TITLE,TITLE,NNP
the,u.s.-u.s.s.r.,trade,and,economic,council,underscores,LOWER,UPPER,TITLE,LOWER,TITLE,TITLE,LOWER,CC
u.s.-u.s.s.r.,trade,and,economic,council,underscores,the,UPPER,TITLE,LOWER,TITLE,TITLE,LOWER,LOWER,NNP
trade,and,economic,council,underscores,the,growing,TITLE,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
and,economic,council,underscores,the,growing,u.s.,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,UPPER,VBZ
economic,council,underscores,the,growing,u.s.,interest,TITLE,TITLE,LOWER,LOWER,LOWER,UPPER,LOWER,DT
council,underscores,the,growing,u.s.,interest,in,TITLE,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,VBG
underscores,the,growing,u.s.,interest,in,that,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,NNP
the,growing,u.s.,interest,in,that,nation,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,NN
growing,u.s.,interest,in,that,nation,'s,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
u.s.,interest,in,that,nation,'s,market,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
interest,in,that,nation,'s,market,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NN
in,that,nation,'s,market,",",though,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,POS
that,nation,'s,market,",",though,trade,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
nation,'s,market,",",though,trade,between,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
's,market,",",though,trade,between,the,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
market,",",though,trade,between,the,two,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NN
",",though,trade,between,the,two,countries,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
though,trade,between,the,two,countries,is,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
trade,between,the,two,countries,is,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CD
between,the,two,countries,is,a,minuscule,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
the,two,countries,is,a,minuscule,$,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VBZ
two,countries,is,a,minuscule,$,3,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DIGIT,DT
countries,is,a,minuscule,$,3,billion,LOWER,LOWER,LOWER,LOWER,PUNCT,DIGIT,LOWER,JJ
is,a,minuscule,$,3,billion,.,LOWER,LOWER,LOWER,PUNCT,DIGIT,LOWER,PUNCT,$
a,minuscule,$,3,billion,.,<PAD>,LOWER,LOWER,PUNCT,DIGIT,LOWER,PUNCT,<PAD>,CD
minuscule,$,3,billion,.,<PAD>,<PAD>,LOWER,PUNCT,DIGIT,LOWER,PUNCT,<PAD>,<PAD>,CD
$,3,billion,.,<PAD>,<PAD>,<PAD>,PUNCT,DIGIT,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,because,there,is,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,because,there,is,a,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,IN
<PAD>,``,because,there,is,a,lot,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,EX
``,because,there,is,a,lot,more,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
because,there,is,a,lot,more,volatility,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
there,is,a,lot,more,volatility,now,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
is,a,lot,more,volatility,now,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJR
a,lot,more,volatility,now,",",if,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,NN
lot,more,volatility,now,",",if,guys,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,RB
more,volatility,now,",",if,guys,see,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
volatility,now,",",if,guys,see,that,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
now,",",if,guys,see,that,they,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
",",if,guys,see,that,they,can,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
if,guys,see,that,they,can,make,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
guys,see,that,they,can,make,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
see,that,they,can,make,a,quick,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
that,they,can,make,a,quick,10,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,VB
they,can,make,a,quick,10,%,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,DT
can,make,a,quick,10,%,or,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,JJ
make,a,quick,10,%,or,15,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,DIGIT,CD
a,quick,10,%,or,15,%,LOWER,LOWER,DIGIT,PUNCT,LOWER,DIGIT,PUNCT,NN
quick,10,%,or,15,%,profit,LOWER,DIGIT,PUNCT,LOWER,DIGIT,PUNCT,LOWER,CC
10,%,or,15,%,profit,",",DIGIT,PUNCT,LOWER,DIGIT,PUNCT,LOWER,PUNCT,CD
%,or,15,%,profit,",",they,PUNCT,LOWER,DIGIT,PUNCT,LOWER,PUNCT,LOWER,NN
or,15,%,profit,",",they,'ll,LOWER,DIGIT,PUNCT,LOWER,PUNCT,LOWER,LOWER,NN
15,%,profit,",",they,'ll,take,DIGIT,PUNCT,LOWER,PUNCT,LOWER,LOWER,LOWER,","
%,profit,",",they,'ll,take,it,PUNCT,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,PRP
profit,",",they,'ll,take,it,.,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,PUNCT,MD
",",they,'ll,take,it,.,'',PUNCT,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,VB
they,'ll,take,it,.,'',<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,PRP
'll,take,it,.,'',<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,.
take,it,.,'',<PAD>,<PAD>,<PAD>,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,<PAD>,''
<PAD>,<PAD>,<PAD>,jaguar,shareholders,would,have,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,NN
<PAD>,<PAD>,jaguar,shareholders,would,have,to,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NNS
<PAD>,jaguar,shareholders,would,have,to,bless,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,MD
jaguar,shareholders,would,have,to,bless,such,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
shareholders,would,have,to,bless,such,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
would,have,to,bless,such,a,far-reaching,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
have,to,bless,such,a,far-reaching,accord,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
to,bless,such,a,far-reaching,accord,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
bless,such,a,far-reaching,accord,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
such,a,far-reaching,accord,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
a,far-reaching,accord,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,volatility,was,dizzying,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,volatility,was,dizzying,for,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,the,volatility,was,dizzying,for,traders,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
the,volatility,was,dizzying,for,traders,.,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
volatility,was,dizzying,for,traders,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,IN
was,dizzying,for,traders,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
dizzying,for,traders,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,wells,fargo,has,sold,<PAD>,<PAD>,<PAD>,TITLE,TITLE,LOWER,LOWER,NNP
<PAD>,<PAD>,wells,fargo,has,sold,all,<PAD>,<PAD>,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
<PAD>,wells,fargo,has,sold,all,of,<PAD>,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBZ
wells,fargo,has,sold,all,of,its,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
fargo,has,sold,all,of,its,non-trade,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
has,sold,all,of,its,non-trade,loans,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
sold,all,of,its,non-trade,loans,made,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP$
all,of,its,non-trade,loans,made,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
of,its,non-trade,loans,made,to,less-developed,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
its,non-trade,loans,made,to,less-developed,countries,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
non-trade,loans,made,to,less-developed,countries,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,TO
loans,made,to,less-developed,countries,",",and,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,JJ
made,to,less-developed,countries,",",and,managed,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NNS
to,less-developed,countries,",",and,managed,to,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
less-developed,countries,",",and,managed,to,partly,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,CC
countries,",",and,managed,to,partly,reverse,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
",",and,managed,to,partly,reverse,the,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
and,managed,to,partly,reverse,the,sharp,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
managed,to,partly,reverse,the,sharp,rise,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
to,partly,reverse,the,sharp,rise,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
partly,reverse,the,sharp,rise,in,domestic,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
reverse,the,sharp,rise,in,domestic,non-accrual,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,sharp,rise,in,domestic,non-accrual,loans,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
sharp,rise,in,domestic,non-accrual,loans,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
rise,in,domestic,non-accrual,loans,",",which,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,JJ
in,domestic,non-accrual,loans,",",which,fell,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NNS
domestic,non-accrual,loans,",",which,fell,8,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,DIGIT,","
non-accrual,loans,",",which,fell,8,%,LOWER,LOWER,PUNCT,LOWER,LOWER,DIGIT,PUNCT,WDT
loans,",",which,fell,8,%,from,LOWER,PUNCT,LOWER,LOWER,DIGIT,PUNCT,LOWER,VBD
",",which,fell,8,%,from,the,PUNCT,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,CD
which,fell,8,%,from,the,previous,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,LOWER,NN
fell,8,%,from,the,previous,quarter,LOWER,DIGIT,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
8,%,from,the,previous,quarter,to,DIGIT,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,DT
%,from,the,previous,quarter,to,$,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
from,the,previous,quarter,to,$,806.8,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,NN
the,previous,quarter,to,$,806.8,million,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,TO
previous,quarter,to,$,806.8,million,from,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,$
quarter,to,$,806.8,million,from,$,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,CD
to,$,806.8,million,from,$,880.9,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,MIXED,CD
$,806.8,million,from,$,880.9,million,PUNCT,MIXED,LOWER,LOWER,PUNCT,MIXED,LOWER,IN
806.8,million,from,$,880.9,million,.,MIXED,LOWER,LOWER,PUNCT,MIXED,LOWER,PUNCT,$
million,from,$,880.9,million,.,<PAD>,LOWER,LOWER,PUNCT,MIXED,LOWER,PUNCT,<PAD>,CD
from,$,880.9,million,.,<PAD>,<PAD>,LOWER,PUNCT,MIXED,LOWER,PUNCT,<PAD>,<PAD>,CD
$,880.9,million,.,<PAD>,<PAD>,<PAD>,PUNCT,MIXED,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,earlier,this,week,",",<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,RBR
<PAD>,<PAD>,earlier,this,week,",",genetics,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,TITLE,DT
<PAD>,earlier,this,week,",",genetics,institute,<PAD>,TITLE,LOWER,LOWER,PUNCT,TITLE,TITLE,NN
earlier,this,week,",",genetics,institute,reported,TITLE,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,","
this,week,",",genetics,institute,reported,wider,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,NNP
week,",",genetics,institute,reported,wider,losses,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
",",genetics,institute,reported,wider,losses,in,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
genetics,institute,reported,wider,losses,in,its,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,JJR
institute,reported,wider,losses,in,its,fiscal,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
reported,wider,losses,in,its,fiscal,third,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
wider,losses,in,its,fiscal,third,quarter,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP$
losses,in,its,fiscal,third,quarter,ended,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
in,its,fiscal,third,quarter,ended,aug.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,JJ
its,fiscal,third,quarter,ended,aug.,31,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,DIGIT,NN
fiscal,third,quarter,ended,aug.,31,.,LOWER,LOWER,LOWER,LOWER,TITLE,DIGIT,PUNCT,VBN
third,quarter,ended,aug.,31,.,<PAD>,LOWER,LOWER,LOWER,TITLE,DIGIT,PUNCT,<PAD>,NNP
quarter,ended,aug.,31,.,<PAD>,<PAD>,LOWER,LOWER,TITLE,DIGIT,PUNCT,<PAD>,<PAD>,CD
ended,aug.,31,.,<PAD>,<PAD>,<PAD>,LOWER,TITLE,DIGIT,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,prosecutors,in,southern,florida,<PAD>,<PAD>,<PAD>,TITLE,LOWER,TITLE,TITLE,NNS
<PAD>,<PAD>,prosecutors,in,southern,florida,indicted,<PAD>,<PAD>,TITLE,LOWER,TITLE,TITLE,LOWER,IN
<PAD>,prosecutors,in,southern,florida,indicted,five,<PAD>,TITLE,LOWER,TITLE,TITLE,LOWER,LOWER,NNP
prosecutors,in,southern,florida,indicted,five,panamanians,TITLE,LOWER,TITLE,TITLE,LOWER,LOWER,TITLE,NNP
in,southern,florida,indicted,five,panamanians,on,LOWER,TITLE,TITLE,LOWER,LOWER,TITLE,LOWER,VBD
southern,florida,indicted,five,panamanians,on,charges,TITLE,TITLE,LOWER,LOWER,TITLE,LOWER,LOWER,CD
florida,indicted,five,panamanians,on,charges,of,TITLE,LOWER,LOWER,TITLE,LOWER,LOWER,LOWER,NNS
indicted,five,panamanians,on,charges,of,illegally,LOWER,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,IN
five,panamanians,on,charges,of,illegally,running,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
panamanians,on,charges,of,illegally,running,arms,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
on,charges,of,illegally,running,arms,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
charges,of,illegally,running,arms,to,sandinista,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,VBG
of,illegally,running,arms,to,sandinista,rebels,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,NNS
illegally,running,arms,to,sandinista,rebels,trying,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,TO
running,arms,to,sandinista,rebels,trying,to,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,LOWER,NNP
arms,to,sandinista,rebels,trying,to,overthrow,LOWER,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,NNS
to,sandinista,rebels,trying,to,overthrow,the,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
sandinista,rebels,trying,to,overthrow,the,nicaraguan,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TO
rebels,trying,to,overthrow,the,nicaraguan,government,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,VB
trying,to,overthrow,the,nicaraguan,government,of,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,DT
to,overthrow,the,nicaraguan,government,of,mr.,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,TITLE,JJ
overthrow,the,nicaraguan,government,of,mr.,somoza,LOWER,LOWER,TITLE,LOWER,LOWER,TITLE,TITLE,NN
the,nicaraguan,government,of,mr.,somoza,.,LOWER,TITLE,LOWER,LOWER,TITLE,TITLE,PUNCT,IN
nicaraguan,government,of,mr.,somoza,.,<PAD>,TITLE,LOWER,LOWER,TITLE,TITLE,PUNCT,<PAD>,NNP
government,of,mr.,somoza,.,<PAD>,<PAD>,LOWER,LOWER,TITLE,TITLE,PUNCT,<PAD>,<PAD>,NNP
of,mr.,somoza,.,<PAD>,<PAD>,<PAD>,LOWER,TITLE,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,some,people,tend,to,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,some,people,tend,to,ignore,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NNS
<PAD>,some,people,tend,to,ignore,that,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
some,people,tend,to,ignore,that,a,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
people,tend,to,ignore,that,a,50-point,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
tend,to,ignore,that,a,50-point,move,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
to,ignore,that,a,50-point,move,is,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
ignore,that,a,50-point,move,is,less,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
that,a,50-point,move,is,less,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
